dataset,statistic_type,statistic_config,build_window_size_sec,bytesPerSecond,query_name,time,tuplesPerSecond,tuplesPerSecond_listener,latency_listener,executionMode,numberOfWorkerThreads,buffersInGlobalBufferManager,joinStrategy,bufferSizeInBytes,pageSize,enableLatency,statisticStoreType,issue
Nexmark,Reservoir,100,60,20515499832.322216,Nexmark_ReservoirBuild_100_60sec,0.32553507,565197847.9615115,-1,,COMPILER,16,200000,HASH_JOIN,102400,8192,False,SUB_STORES,ok
Nexmark,Reservoir,100,60,19069378604.169952,Nexmark_ReservoirBuild_100_60sec,0.350221935,525357502.23640335,-1,,COMPILER,16,200000,HASH_JOIN,102400,8192,False,SUB_STORES,ok
Nexmark,Reservoir,1000,60,3228888481.565232,Nexmark_ReservoirBuild_1000_60sec,2.068363374,88955220.97946413,-1,,COMPILER,1,200000,HASH_JOIN,102400,8192,False,SUB_STORES,ok
Nexmark,Reservoir,1000,60,3487918727.0982714,Nexmark_ReservoirBuild_1000_60sec,1.914756391,96091451.56262335,-1,,COMPILER,1,200000,HASH_JOIN,102400,8192,False,SUB_STORES,ok
Nexmark,Reservoir,1000,60,3491802882.7777104,Nexmark_ReservoirBuild_1000_60sec,1.912626485,96198459.26163675,-1,,COMPILER,1,200000,HASH_JOIN,102400,8192,False,SUB_STORES,ok
Nexmark,Reservoir,1000,60,12141630101.3694,Nexmark_ReservoirBuild_1000_60sec,0.550050909,334499439.94184,-1,,COMPILER,4,200000,HASH_JOIN,102400,8192,False,SUB_STORES,ok
Nexmark,Reservoir,1000,60,12095584559.708088,Nexmark_ReservoirBuild_1000_60sec,0.552144846,333230894.63376063,-1,,COMPILER,4,200000,HASH_JOIN,102400,8192,False,SUB_STORES,ok
Nexmark,Reservoir,1000,60,11615007947.23237,Nexmark_ReservoirBuild_1000_60sec,0.574990108,319991106.69917816,-1,,COMPILER,4,200000,HASH_JOIN,102400,8192,False,SUB_STORES,ok
Nexmark,Reservoir,1000,60,19258431103.310917,Nexmark_ReservoirBuild_1000_60sec,0.346783943,530565860.13845515,-1,,COMPILER,16,200000,HASH_JOIN,102400,8192,False,SUB_STORES,ok
Nexmark,Reservoir,1000,60,20389649494.772705,Nexmark_ReservoirBuild_1000_60sec,0.327544359,561730696.7573208,-1,,COMPILER,16,200000,HASH_JOIN,102400,8192,False,SUB_STORES,ok
Nexmark,Reservoir,1000,60,19938855467.308586,Nexmark_ReservoirBuild_1000_60sec,0.334949751,549311412.9826596,-1,,COMPILER,16,200000,HASH_JOIN,102400,8192,False,SUB_STORES,ok
Nexmark,EquiWidthHistogram,"(100, 0, 100000, uint64)",60,4178962700.464255,Nexmark_EquiWidthHistogramBuild_100_0_100000_uint64_60sec,1.598127371,115129572.48512079,-1,,COMPILER,1,200000,HASH_JOIN,102400,8192,False,SUB_STORES,ok
Nexmark,EquiWidthHistogram,"(100, 0, 100000, uint64)",60,4298676180.635385,Nexmark_EquiWidthHistogramBuild_100_0_100000_uint64_60sec,1.553621253,118427654.51664428,-1,,COMPILER,1,200000,HASH_JOIN,102400,8192,False,SUB_STORES,ok
Nexmark,EquiWidthHistogram,"(100, 0, 100000, uint64)",60,4305717498.287607,Nexmark_EquiWidthHistogramBuild_100_0_100000_uint64_60sec,1.551080552,118621641.38590786,-1,,COMPILER,1,200000,HASH_JOIN,102400,8192,False,SUB_STORES,ok
Nexmark,EquiWidthHistogram,"(100, 0, 100000, uint64)",60,15418430344.259375,Nexmark_EquiWidthHistogramBuild_100_0_100000_uint64_60sec,0.433151399,424774620.20156145,-1,,COMPILER,4,200000,HASH_JOIN,102400,8192,False,SUB_STORES,ok
