dataset,statistic_type,statistic_config,query_name,num_statistic_ids,build_window_size_sec,build_windows_per_probe_window,num_probe_tuples,num_probe_repetitions,probe_throughput_listener,probe_duration_s,build_throughput_listener,build_duration_s,executionMode,numberOfWorkerThreads,buffersInGlobalBufferManager,joinStrategy,bufferSizeInBytes,pageSize,enableLatency,issue
ClusterMonitoring,EquiWidthHistogram,"(100, 0, 100000, 'uint64')",EquiWidthHistogramBuild_100_0_100000_uint64,1,1,1000,10,100000,-1,41.59417963027954,187976.96536796537,188.0431408882141,COMPILER,1,20000,HASH_JOIN,1048576,8192,True,probe:no_measurements
ClusterMonitoring,EquiWidthHistogram,"(100, 0, 100000, 'uint64')",EquiWidthHistogramBuild_100_0_100000_uint64,1,1,1,10,100000,778868.0,43.34382724761963,342382.22388059704,192.03757047653198,COMPILER,4,20000,HASH_JOIN,1048576,8192,False,ok
ClusterMonitoring,EquiWidthHistogram,"(100, 0, 100000, 'uint64')",EquiWidthHistogramBuild_100_0_100000_uint64,1,1,1,10,100000,758372.5,18.014535427093506,339544.89552238805,200.0271701812744,COMPILER,4,20000,HASH_JOIN,1048576,8192,False,ok
ClusterMonitoring,EquiWidthHistogram,"(100, 0, 100000, 'uint64')",EquiWidthHistogramBuild_100_0_100000_uint64,1,1,1,10,100000,898629.0,18.26538920402527,341572.86363636365,198.03449416160583,COMPILER,4,20000,HASH_JOIN,1048576,8192,False,ok
ClusterMonitoring,EquiWidthHistogram,"(100, 0, 100000, 'uint64')",EquiWidthHistogramBuild_100_0_100000_uint64,1,1,1000,10,100000,-1,16.265435695648193,352657.8883248731,192.02826142311096,COMPILER,4,20000,HASH_JOIN,1048576,8192,False,probe:no_measurements
ClusterMonitoring,EquiWidthHistogram,"(100, 0, 100000, 'uint64')",EquiWidthHistogramBuild_100_0_100000_uint64,1,1,1000,10,100000,-1,16.013489961624146,349606.4715025907,242.69383692741394,COMPILER,4,20000,HASH_JOIN,1048576,8192,False,probe:no_measurements
ClusterMonitoring,EquiWidthHistogram,"(100, 0, 100000, 'uint64')",EquiWidthHistogramBuild_100_0_100000_uint64,1,1,1000,10,100000,-1,41.591723680496216,347556.40512820514,192.03535842895508,COMPILER,4,20000,HASH_JOIN,1048576,8192,False,probe:no_measurements
ClusterMonitoring,EquiWidthHistogram,"(100, 0, 100000, 'uint64')",EquiWidthHistogramBuild_100_0_100000_uint64,1,1,1,10,100000,898629.0,68.67571997642517,345512.4974619289,198.0503957271576,COMPILER,4,20000,HASH_JOIN,1048576,8192,True,ok
ClusterMonitoring,EquiWidthHistogram,"(100, 0, 100000, 'uint64')",EquiWidthHistogramBuild_100_0_100000_uint64,1,1,1,10,100000,808911.0,43.344011545181274,352261.9170984456,192.04805374145508,COMPILER,4,20000,HASH_JOIN,1048576,8192,True,ok
ClusterMonitoring,EquiWidthHistogram,"(100, 0, 100000, 'uint64')",EquiWidthHistogramBuild_100_0_100000_uint64,1,1,1,10,100000,783275.0,18.018895626068115,346428.8298969072,221.38061380386353,COMPILER,4,20000,HASH_JOIN,1048576,8192,True,ok
ClusterMonitoring,EquiWidthHistogram,"(100, 0, 100000, 'uint64')",EquiWidthHistogramBuild_100_0_100000_uint64,1,1,1000,10,100000,-1,41.598623275756836,349978.25,225.3750491142273,COMPILER,4,20000,HASH_JOIN,1048576,8192,True,probe:no_measurements
ClusterMonitoring,EquiWidthHistogram,"(100, 0, 100000, 'uint64')",EquiWidthHistogramBuild_100_0_100000_uint64,1,1,1000,10,100000,-1,66.67408895492554,345677.4591836735,204.06335353851318,COMPILER,4,20000,HASH_JOIN,1048576,8192,True,probe:no_measurements
ClusterMonitoring,EquiWidthHistogram,"(100, 0, 100000, 'uint64')",EquiWidthHistogramBuild_100_0_100000_uint64,1,1,1000,10,100000,-1,41.59853148460388,346726.4210526316,200.30030035972595,COMPILER,4,20000,HASH_JOIN,1048576,8192,True,probe:no_measurements
ClusterMonitoring,EquiWidthHistogram,"(100, 0, 100000, 'uint64')",EquiWidthHistogramBuild_100_0_100000_uint64,1,1,1,10,100000,1367236.6666666667,18.014609575271606,527305.951807229,226.2890305519104,COMPILER,16,20000,HASH_JOIN,1048576,8192,False,ok
ClusterMonitoring,EquiWidthHistogram,"(100, 0, 100000, 'uint64')",EquiWidthHistogramBuild_100_0_100000_uint64,1,1,1,10,100000,1722500.0,68.92062616348267,545019.2125,218.2875199317932,COMPILER,16,20000,HASH_JOIN,1048576,8192,False,ok
ClusterMonitoring,EquiWidthHistogram,"(100, 0, 100000, 'uint64')",EquiWidthHistogramBuild_100_0_100000_uint64,1,1,1,10,100000,1248530.0,18.01352024078369,560271.540229885,214.03694224357605,COMPILER,16,20000,HASH_JOIN,1048576,8192,False,ok
ClusterMonitoring,EquiWidthHistogram,"(100, 0, 100000, 'uint64')",EquiWidthHistogramBuild_100_0_100000_uint64,1,1,1000,10,100000,-1,16.01358985900879,556114.0361445784,210.03274393081665,COMPILER,16,20000,HASH_JOIN,1048576,8192,False,probe:no_measurements
ClusterMonitoring,EquiWidthHistogram,"(100, 0, 100000, 'uint64')",EquiWidthHistogramBuild_100_0_100000_uint64,1,1,1000,10,100000,-1,16.267138242721558,565474.4935064935,214.02782559394836,COMPILER,16,20000,HASH_JOIN,1048576,8192,False,probe:no_measurements
ClusterMonitoring,EquiWidthHistogram,"(100, 0, 100000, 'uint64')",EquiWidthHistogramBuild_100_0_100000_uint64,1,1,1000,10,100000,-1,16.01469111442566,570765.1690140845,212.03273272514343,COMPILER,16,20000,HASH_JOIN,1048576,8192,False,probe:no_measurements
ClusterMonitoring,EquiWidthHistogram,"(100, 0, 100000, 'uint64')",EquiWidthHistogramBuild_100_0_100000_uint64,1,1,1,10,100000,1298266.6666666667,18.01543664932251,596531.1081081082,212.28695678710938,COMPILER,16,20000,HASH_JOIN,1048576,8192,True,ok
ClusterMonitoring,EquiWidthHistogram,"(100, 0, 100000, 'uint64')",EquiWidthHistogramBuild_100_0_100000_uint64,1,1,1,10,100000,1566666.6666666667,18.014662742614746,562574.0714285715,228.0514006614685,COMPILER,16,20000,HASH_JOIN,1048576,8192,True,ok
ClusterMonitoring,EquiWidthHistogram,"(100, 0, 100000, 'uint64')",EquiWidthHistogramBuild_100_0_100000_uint64,1,1,1,10,100000,1348000.0,18.01487684249878,603727.5542168674,214.0542335510254,COMPILER,16,20000,HASH_JOIN,1048576,8192,True,ok
ClusterMonitoring,EquiWidthHistogram,"(100, 0, 100000, 'uint64')",EquiWidthHistogramBuild_100_0_100000_uint64,1,1,1000,10,100000,-1,16.015089511871338,559431.217948718,224.30381417274475,COMPILER,16,20000,HASH_JOIN,1048576,8192,True,probe:no_measurements
ClusterMonitoring,EquiWidthHistogram,"(100, 0, 100000, 'uint64')",EquiWidthHistogramBuild_100_0_100000_uint64,1,1,1000,10,100000,-1,16.01470685005188,571223.9411764706,216.05986261367798,COMPILER,16,20000,HASH_JOIN,1048576,8192,True,probe:no_measurements
ClusterMonitoring,EquiWidthHistogram,"(100, 0, 100000, 'uint64')",EquiWidthHistogramBuild_100_0_100000_uint64,1,1,1000,10,100000,-1,16.2668514251709,572698.4320987654,237.38201522827148,COMPILER,16,20000,HASH_JOIN,1048576,8192,True,probe:no_measurements
ClusterMonitoring,EquiWidthHistogram,"(1000, 0, 100000, 'uint64')",EquiWidthHistogramBuild_1000_0_100000_uint64,1,1,1,10,100000,77967.54545454546,59.34735679626465,178280.83367556467,204.0425808429718,COMPILER,1,20000,HASH_JOIN,1048576,8192,False,ok
ClusterMonitoring,EquiWidthHistogram,"(1000, 0, 100000, 'uint64')",EquiWidthHistogramBuild_1000_0_100000_uint64,1,1,1,10,100000,80237.06060606061,34.01729345321655,175416.07707910752,206.04264450073242,COMPILER,1,20000,HASH_JOIN,1048576,8192,False,ok
ClusterMonitoring,EquiWidthHistogram,"(1000, 0, 100000, 'uint64')",EquiWidthHistogramBuild_1000_0_100000_uint64,1,1,1000,10,100000,-1,66.67413711547852,177291.45714285714,202.0442533493042,COMPILER,1,20000,HASH_JOIN,1048576,8192,False,probe:no_measurements
ClusterMonitoring,EquiWidthHistogram,"(1000, 0, 100000, 'uint64')",EquiWidthHistogramBuild_1000_0_100000_uint64,1,1,1000,10,100000,-1,16.017863988876343,172366.64,212.04463529586792,COMPILER,1,20000,HASH_JOIN,1048576,8192,False,probe:no_measurements
ClusterMonitoring,EquiWidthHistogram,"(1000, 0, 100000, 'uint64')",EquiWidthHistogramBuild_1000_0_100000_uint64,1,1,1000,10,100000,-1,16.013797521591187,174942.77484787017,214.3044958114624,COMPILER,1,20000,HASH_JOIN,1048576,8192,False,probe:no_measurements
